id_tempat,nama_tempat_wisata,kategori,kecamatan,kabupaten_kota,rating,jumlah_rating,latitude,longitude,link_google_maps,link_gambar
BL0101001,Patung Titi Banda,Umum,Denpasar Barat,Kota Denpasar,4.6,1941,-8.6492916,115.2550434,https://www.google.com/maps/place/Patung+Titi+Banda/data=!4m7!3m6!1s0x2dd24075cfb1c9ab:0x504b91c49fa2dafa!8m2!3d-8.6492916!4d115.2550434!16s%2Fg%2F11bwyh98t_!19sChIJq8mxz3VA0i0R-tqin8SRS1A?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-statue-patung-titi-banda-denpasar-barat-kota-denpasar/1080/720
BL0101002,Uma.palak.(parkir.2),Rekreasi,Denpasar Barat,Kota Denpasar,4.8,83,-8.6178768,115.2129746,https://www.google.com/maps/place/Uma.palak.%28parkir.2%29/data=!4m7!3m6!1s0x2dd23f93096927d1:0xec812414518de557!8m2!3d-8.6178768!4d115.2129746!16s%2Fg%2F11f6y6_zny!19sChIJ0SdpCZM_0i0RV-WNURQkgew?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-garden-uma-palak-parkir-2-denpasar-barat-kota-denpasar/1080/720
BL0101003,Tukad Bindu Park,Rekreasi,Denpasar Barat,Kota Denpasar,4.5,1180,-8.6437911,115.2358125,https://www.google.com/maps/place/Tukad+Bindu+Park/data=!4m7!3m6!1s0x2dd23f789bdb40bb:0xc8f454047cb4a78!8m2!3d-8.6437911!4d115.2358125!16s%2Fg%2F11c6r1t8p0!19sChIJu0Dbm3g_0i0ReErLR0BFjww?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-garden-tukad-bindu-park-denpasar-barat-kota-denpasar/1080/720
BL0101004,Pantai Padang Galak,Alam,Denpasar Barat,Kota Denpasar,4.6,486,-8.6611382,115.2633006,https://www.google.com/maps/place/Pantai+Padang+Galak/data=!4m7!3m6!1s0x2dd241f0c7d5da97:0x1a904422c0294eea!8m2!3d-8.6611382!4d115.2633006!16s%2Fg%2F11n2wcd4jt!19sChIJl9rVx_BB0i0R6k4pwCJEkBo?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-beach-pantai-padang-galak-denpasar-barat-kota-denpasar/1080/720
BL0101005,Museum Le Mayeur,Budaya,Denpasar Barat,Kota Denpasar,4.1,679,-8.6748773,115.2636777,https://www.google.com/maps/place/Museum+Le+Mayeur/data=!4m7!3m6!1s0x2dd24039af93edab:0xbc2308b38e03f5c2!8m2!3d-8.6748773!4d115.2636777!16s%2Fm%2F05b4vt2!19sChIJq-2TrzlA0i0RwvUDjrMII7w?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-museum-museum-le-mayeur-denpasar-barat-kota-denpasar/1080/720
BL0101006,Lapangan Puputan Badung (I Gusti Ngurah Made Agung),Umum,Denpasar Barat,Kota Denpasar,4.7,3909,-8.6569327,115.2176527,https://www.google.com/maps/place/Lapangan+Puputan+Badung+%28I+Gusti+Ngurah+Made+Agung%29/data=!4m7!3m6!1s0x2dd24149216c058f:0x5d8dd5076a7a4d06!8m2!3d-8.6569327!4d115.2176527!16s%2Fg%2F11n0mkk98h!19sChIJjwVsIUlB0i0RBk16agfVjV0?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-volcano-lapangan-puputan-badung-i-gusti-ngurah-made-agung-denpasar-barat-kota-denpasa/1080/720
BL0101007,Lapangan Lumintang,Umum,Denpasar Barat,Kota Denpasar,4.4,1671,-8.6378532,115.2129934,https://www.google.com/maps/place/Lapangan+Lumintang/data=!4m7!3m6!1s0x2dd23f68260c7a11:0xce64e32b734f87cb!8m2!3d-8.6378532!4d115.2129934!16s%2Fg%2F11byn1ldb9!19sChIJEXoMJmg_0i0Ry4dPcyvjZM4?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-square-lapangan-lumintang-denpasar-barat-kota-denpasar/1080/720
BL0101008,Air Terjun Juwuk Manis,Alam,Denpasar Barat,Kota Denpasar,4.5,238,-8.3910903,114.9079129,https://www.google.com/maps/place/Air+Terjun+Juwuk+Manis/data=!4m7!3m6!1s0x2dd22b2bae26411b:0xced499fc9fbb8c83!8m2!3d-8.3910903!4d114.9079129!16s%2Fg%2F11cr_0bv1w!19sChIJG0Emrisr0i0Rg4y7n_yZ1M4?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-waterfall-air-terjun-juwuk-manis-denpasar-barat-kota-denpasar/1080/720
BL0101009,Pasar Sindu,Umum,Denpasar Barat,Kota Denpasar,4.4,3494,-8.685235,115.2599958,https://www.google.com/maps/place/Pasar+Sindu/data=!4m7!3m6!1s0x504431901a68655:0x3c03f9153fbf1028!8m2!3d-8.685235!4d115.2599958!16s%2Fg%2F11b7gt6phf!19sChIJVYamARlDBAURKBC_PxX5Azw?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-market-pasar-sindu-denpasar-barat-kota-denpasar/1080/720
BL0101010,Taman Radha Bali (TRB),Rekreasi,Denpasar Barat,Kota Denpasar,5.0,4,-8.6759876,115.2097235,https://www.google.com/maps/place/Taman+Radha+Bali+%28TRB%29/data=!4m7!3m6!1s0x2dd241eadb34eb01:0x538d507958deb82c!8m2!3d-8.6759876!4d115.2097235!16s%2Fg%2F11vlng0v96!19sChIJAes02-pB0i0RLLjeWHlQjVM?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-garden-taman-radha-bali-trb-denpasar-barat-kota-denpasar/1080/720
BL0101011,Tukad Loloan Sanur,Umum,Denpasar Barat,Kota Denpasar,4.4,36,-8.7094505,115.2459178,https://www.google.com/maps/place/Tukad+Loloan+Sanur/data=!4m7!3m6!1s0x2dd24194a25c8a2f:0x55b14f49569a6d43!8m2!3d-8.7094505!4d115.2459178!16s%2Fg%2F11h3nn3vyr!19sChIJL4pcopRB0i0RQ22aVklPsVU?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-river-tukad-loloan-sanur-denpasar-barat-kota-denpasar/1080/720
BL0101012,DERMAGA 2 WISATA AIR KAMPUNG ISLAM KEPAON,Umum,Denpasar Barat,Kota Denpasar,4.9,8,-8.6982793,115.1950893,https://www.google.com/maps/place/DERMAGA+2+WISATA+AIR+KAMPUNG+ISLAM+KEPAON/data=!4m7!3m6!1s0x2dd241a0f7eac7b5:0x4208325161018aa8!8m2!3d-8.6982793!4d115.1950893!16s%2Fg%2F11tsjxjf7p!19sChIJtcfq96BB0i0RqIoBYVEyCEI?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-village-dermaga-2-wisata-air-kampung-islam-kepaon-denpasar-barat-kota-denpasar/1080/720
BL0101013,Pantai Muntig Siokan Sidakarya,Alam,Denpasar Barat,Kota Denpasar,4.6,56,-8.7170876,115.238701,https://www.google.com/maps/place/Pantai+Muntig+Siokan+Sidakarya/data=!4m7!3m6!1s0x2dd24110e5b698d7:0x3ac453f130c634ca!8m2!3d-8.7170876!4d115.238701!16s%2Fg%2F11k2xjtp88!19sChIJ15i25RBB0i0RyjTGMPFTxDo?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-beach-pantai-muntig-siokan-sidakarya-denpasar-barat-kota-denpasar/1080/720
BL0101014,Pantai Double - Six,Alam,Denpasar Barat,Kota Denpasar,4.7,2038,-8.6975406,115.1621384,https://www.google.com/maps/place/Pantai+Double+-+Six/data=!4m7!3m6!1s0x2dd2479816ac658f:0xc8f11ad843a0f6a4!8m2!3d-8.6975406!4d115.1621384!16s%2Fg%2F11n_xx1p1_!19sChIJj2WsFphH0i0RpPagQ9ga8cg?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-beach-pantai-double-six-denpasar-barat-kota-denpasar/1080/720
BL0101015,Daiin Aquarium,Umum,Denpasar Barat,Kota Denpasar,4.5,4,-8.6804973,115.1814825,https://www.google.com/maps/place/Daiin+Aquarium/data=!4m7!3m6!1s0x2dd247bb381c94c1:0x8f7c3ff9def8fc08!8m2!3d-8.6804973!4d115.1814825!16s%2Fg%2F11s2l01r5l!19sChIJwZQcOLtH0i0RCPz43vk_fI8?authuser=0&hl=id&rclk=1,https://picsum.photos/seed/bali-tourism-daiin-aquarium-denpasar-barat-kota-denpasar/1080/720
